rank;col_sample_rate;learn_rate;max_depth;sample_rate;model_ids;residual_deviance
48;0,6;0,101;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_160;0,198262636859875
49;0,3;0,217;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_96;0,198276273244291
50;0,5;0,218;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_88;0,198306479930174
51;0,2;0,351;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_84;0,198315749772301
52;0,9;0,197;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_138;0,198345914756546
53;1,0;0,181;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_16;0,198360166590072
54;0,6;0,015;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_66;0,198438301414774
55;0,5;0,078;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_140;0,198499083979222
56;0,3;0,041;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_73;0,198533462695748
57;0,8;0,357;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_152;0,198599252366575
58;0,3;0,227;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_177;0,198657920743018
59;0,3;0,445;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_42;0,198679664775048
60;0,2;0,235;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_130;0,198685557153570
61;0,9;0,468;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_1;0,198823703539940
62;0,1;0,060;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_182;0,198924552247609
63;0,1;0,461;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_165;0,199098562708159
64;1,0;0,133;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_136;0,199121544004867
65;0,1;0,443;4;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_9;0,199169988671271
66;0,3;0,028;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_170;0,199248090807517
67;0,1;0,017;3;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_78;0,199296827265721
68;0,9;0,005;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_5;0,199451065582731
69;0,4;0,005;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_57;0,199461702325640
70;0,9;0,026;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_189;0,199506362093153
71;0,8;0,002;4;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_108;0,199564992740929
72;0,9;0,048;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_172;0,199569148278869
73;1,0;0,425;4;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_146;0,199605070691353
74;0,2;0,001;2;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_145;0,199609775579468
75;0,8;0,401;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_68;0,199760969619231
76;1,0;0,122;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_154;0,199861849276105
77;0,5;0,091;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_151;0,199998972104708
78;0,3;0,172;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_71;0,200007293732098
79;0,7;0,253;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_181;0,200041871021412
80;0,5;0,103;5;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_15;0,200051857792179
81;0,9;0,029;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_54;0,200185608599665
82;0,4;0,342;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_53;0,200291265529791
83;0,6;0,024;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_75;0,200355248738126
84;0,9;0,035;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_50;0,200392761897935
85;0,1;0,191;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_147;0,200440391343961
86;0,8;0,128;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_22;0,200979036349374
87;0,2;0,314;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_28;0,200993820417927
88;0,9;0,137;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_14;0,201111150571452
89;0,3;0,133;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_62;0,201229249441203
90;0,7;0,036;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_153;0,201532848344792
91;1,0;0,285;5;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_127;0,201605691745916
92;1,0;0,082;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_161;0,201709311664102
93;0,3;0,137;7;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_119;0,201960537893104
94;0,2;0,134;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_24;0,202336144350682
95;0,8;0,345;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_76;0,202726122059497
96;1,0;0,316;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_13;0,202902666825009
97;1,0;0,460;5;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_77;0,203128968213648
98;0,7;0,352;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_65;0,203620041594699
99;0,4;0,391;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_47;0,203679277791146
100;0,2;0,047;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_32;0,204432208162232
101;0,9;0,102;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_141;0,204729693748331
102;0,3;0,195;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_183;0,204764494613802
103;0,6;0,401;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_158;0,204897639191237
104;0,3;0,404;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_162;0,204922379992197
105;0,3;0,217;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_46;0,205741093545802
106;0,2;0,038;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_23;0,205886795625630
107;0,9;0,146;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_186;0,207077042133005
108;0,3;0,460;6;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_11;0,207113572068275
109;0,1;0,469;6;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_144;0,207143176904410
110;0,6;0,127;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_169;0,207173838110228
111;0,6;0,447;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_105;0,207356391779232
112;0,9;0,473;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_109;0,207378355114859
113;0,2;0,481;6;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_139;0,207814717150522
114;0,1;0,313;7;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_159;0,208695431558660
115;0,4;0,056;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_175;0,209072909684533
116;0,1;0,326;7;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_129;0,209569864739697
117;0,7;0,104;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_60;0,211162544471802
118;0,2;0,062;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_157;0,211563318806345
119;0,8;0,088;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_39;0,212057700707561
120;0,6;0,431;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_92;0,212415238291850
121;0,2;0,288;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_99;0,212485994270782
122;0,4;0,323;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_67;0,213437410442438
123;0,7;0,026;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_90;0,213692466526858
124;0,7;0,144;8;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_55;0,214887453482118
125;0,7;0,277;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_132;0,215335495326607
126;0,6;0,256;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_80;0,215440635096672
127;0,8;0,110;8;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_33;0,215558159683790
128;0,6;0,272;8;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_91;0,216352827470315
129;0,9;0,245;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_116;0,218798493565518
130;0,8;0,480;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_74;0,219758679063025
131;0,7;0,151;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_43;0,220271536625372
132;0,1;0,341;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_133;0,220742214280451
133;0,1;0,491;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_82;0,221387326746841
134;0,7;0,172;9;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_6;0,221927739359258
135;0,2;0,258;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_89;0,222119179538394
136;0,4;0,096;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_20;0,222561398622556
137;0,8;0,148;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_102;0,222655613713190
138;0,6;0,428;7;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_125;0,223324813815629
139;0,4;0,159;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_98;0,225055594054373
140;0,5;0,306;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_143;0,226804365007287
141;1,0;0,170;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_18;0,227458890583265
142;0,1;0,366;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_164;0,227486414404398
143;1,0;0,306;7;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_167;0,227761240329112
144;0,4;0,421;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_113;0,228732407363023
145;0,1;0,145;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_174;0,229902081399289
146;0,1;0,489;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_114;0,230776044092470
147;0,2;0,194;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_59;0,230905307714684
148;0,9;0,453;7;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_185;0,232649283401368
149;0,4;0,416;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_81;0,237234779895331
150;0,1;0,478;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_187;0,237405334851296
151;0,4;0,253;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_168;0,240479121304691
152;1,0;0,346;8;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_124;0,246261607974078
153;0,9;0,159;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_70;0,246785253995533
154;0,6;0,075;10;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_44;0,247126208031747
155;0,2;0,186;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_49;0,247186202537949
156;0,9;0,234;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_166;0,250766015952696
157;0,8;0,311;8;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_8;0,251387356967733
158;0,8;0,075;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_29;0,251854347629308
159;0,2;0,188;10;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_69;0,252748102216927
160;0,3;0,201;10;1,0;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_106;0,254968253011896
161;1,0;0,073;10;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_122;0,255517557999321
162;0,6;0,221;9;0,8;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_148;0,256660123015191
163;0,8;0,181;9;0,9;Grid_GBM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_80_model_94;0,258860684610229
