rank;alpha;lambda;model_ids;residual_deviance
357;[0.1];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_226;35472,8071156753
358;[0.08];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_43;35472,8842233606
359;[0.0];1,87381742286038e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_525;35472,8950406283
360;[0.06];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_8;35472,9405952347
361;[0.06];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_380;35472,9720837753
362;[0.1];3,05385550883341e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_418;35472,9802993178
363;[0.08];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_538;35473,1254677264
364;[0.02];9,32603346883220e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_104;35473,1428836369
365;[0.04];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_556;35473,1671389968
366;[0.06];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_143;35473,2743806829
367;[0.1];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_437;35473,3087103183
368;[0.08];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_370;35473,4414052033
369;[0.1];3,51119173421513e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_579;35473,5747208640
370;[0.1];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_593;35473,5980002737
371;[0.08];8,11130830789687e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_240;35473,6140436387
372;[0.04];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_235;35473,6368433184
373;[0.0];2,00923300256505e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_429;35473,6720179644
374;[0.02];1,00000000000000e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_252;35473,6865409732
375;[0.1];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_282;35473,7677885938
376;[0.06];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_391;35473,7736726160
377;[0.08];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_360;35473,8074072305
378;[0.1];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_407;35474,0639955101
379;[0.04];7,56463327554629e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_415;35474,0875615060
380;[0.08];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_516;35474,1526383942
381;[0.06];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_349;35474,2383970776
382;[0.02];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_574;35474,4195148869
383;[0.1];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_589;35474,4521212748
384;[0.0];2,15443469003188e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_230;35474,5104719279
385;[0.06];1,07226722201032e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_84_model_322;35474,5499748392
