variable_encripted;level_encripted;coefficients;standardized_coefficients
33;1;2,31054916724301e-02;2,31054916724301e-02
33;2;-2,31054916725962e-02;-2,31054916725962e-02
34;1;-3,99750957071676e-02;-3,99750957071676e-02
34;2;3,99750957070195e-02;3,99750957070195e-02
35;1;1,02494633454855e-02;1,02494633454855e-02
35;2;-1,02494633456800e-02;-1,02494633456800e-02
36;1;1,62256136475556e-02;1,62256136475556e-02
36;2;-1,62256136476613e-02;-1,62256136476613e-02
37;1;5,64316516834200e-02;5,64316516834200e-02
37;2;-5,64316516836424e-02;-5,64316516836424e-02
38;1;4,33279705732320e-02;4,33279705732320e-02
38;2;-4,33279705733428e-02;-4,33279705733428e-02
39;1;-2,20322664597271e-02;-3,17756547376833e-02
40;1;-5,48585007257783e-02;-6,81351401193440e-02
41;1;1,45114196450382e-02;4,77483484582576e-02
42;1;-9,82092253784296e-04;-1,88810699131839e-02
43;1;-2,55645813497848e-03;-1,58852762548781e-02
44;1;-1,34423430383721e-03;-4,71685886467929e-02
45;1;2,76936734301393e-05;4,66468953398047e-02
46;1;2,57013949124738e-02;1,50568218885964e-01
47;1;2,65172135667671e-03;2,09542986301682e-02
48;1;7,29003150933082e-02;5,22695492809063e-02
49;1;-3,14279514950466e-03;-6,82994219121804e-03
50;1;1,39263773958734e-02;8,17145997218920e-02
51;1;3,23887503525135e-03;7,84831400427927e-03
52;1;9,66899361000696e-02;2,29456324104557e-02
53;1;-5,18244528765125e-02;-6,90796264409916e-02
54;1;-3,50973001998523e-04;-4,72973612793969e-02
55;1;-2,56292140884765e-05;-8,34677901327313e-02
56;1;-1,00543702517333e-06;-8,55595361819508e-02
57;1;-9,57493984522959e-05;-8,44218345398238e-03
58;1;6,30719561012519e-05;1,09144673888092e-01
59;1;-5,43319456719067e-03;-1,74741276062861e-02
60;1;-2,73287884571539e-03;-3,92771782313658e-02
61;1;5,43089681716586e-05;8,34522091069928e-02
62;1;8,67465946373158e-11;7,84512882865352e-02
63;1;-7,57155242243825e-02;-3,98937058538946e-02
64;1;6,30639293037752e-02;3,82964683866551e-02
65;1;-8,49033137507194e-03;-4,76238603861621e-02
66;1;-5,08556629148453e-02;-4,28847324224477e-02
67;1;-1,87764769654730e-02;-8,95049231549515e-02
68;1;5,38968970401500e-03;7,50899889804261e-03
