variable_encripted;level_encripted;coefficients;std_error;z_value;p_value;standardized_coefficients
11;2;9,81705060667903e-02;5,12918378987714e-02;1,9139596101145300;5,56253167425667e-02;0,09817050606679030
11;3;1,25635289162609e-01;4,98190704910528e-02;2,5218312570719799;1,16745696442446e-02;0,12563528916260899
12;2;2,07826508228132e-01;4,00447348579493e-02;5,1898585161159296;2,10453928395360e-07;0,20782650822813201
13;2;9,82176016340139e-02;6,51975057107631e-02;1,5064625642235201;1,31948470293160e-01;0,09821760163401390
14;2;3,02944935234230e-02;3,83034329791523e-02;0,7909080509810070;4,28997649928894e-01;0,03029449352342300
15;2;3,27201347504775e-01;1,20192439712889e-01;2,7223122210214101;6,48268634064519e-03;0,32720134750477498
16;2;1,28988499311429e-01;7,66408000426947e-02;1,6830265242478200;9,23699568276398e-02;0,12898849931142900
17;2;-2,91074633140723e-01;7,08786081479992e-02;-4,1066640661585900;4,01414370275743e-05;-0,29107463314072302
18;2;1,86323183076962e-01;7,30993171182229e-02;2,5489045646708699;1,08061867408820e-02;0,18632318307696200
19;2;-9,64221230360490e-02;3,12956725279511e-02;-3,0810049839936000;2,06303195554491e-03;-0,09642212303604900
20;2;1,03904763984128e-01;3,06336644685499e-02;3,3918489931494000;6,94226896087891e-04;0,10390476398412800
21;2;2,79808804515917e-01;1,09053959653304e-01;2,5657830802793802;1,02943183619614e-02;0,27980880451591700
22;2;-3,28917700510775e-01;1,16083972298367e-01;-2,8334462889103000;4,60490458555762e-03;-0,32891770051077501
23;2;-1,26844791347316e-01;5,75939157652413e-02;-2,2023991538333298;2,76371256066312e-02;-0,12684479134731599
24;2;-1,03461192039703e-01;7,07625511442651e-02;-1,4620896274467901;1,43716650765709e-01;-0,10346119203970300
25;2;5,47431219856646e-02;4,44022629680074e-02;1,2328903602302399;2,17616672428225e-01;0,05474312198566460
26;2;4,82323036718000e-02;2,98156700722884e-02;1,6176830356272500;1,05730923807397e-01;0,04823230367180000
27;2;1,68961047041957e-02;8,13172068070786e-02;0,2077801902896270;8,35400600910029e-01;0,01689610470419570
28;2;9,44622909714144e-02;4,65684095984623e-02;2,0284628954675199;4,25130265408189e-02;0,09446229097141440
29;2;4,31735851632800e-01;4,40595911500736e-01;0,9798907351687460;3,27140056737735e-01;0,43173585163279998
30;2;-7,72561280072666e-02;3,99693822048342e-02;-1,9328827153581201;5,32506476119952e-02;-0,07725612800726660
31;2;-2,24573733078444e-01;2,19524855707743e-01;-1,0229991148584201;3,06308264321664e-01;-0,22457373307844400
32;2;-1,68793107795065e-01;1,06725418018600e-01;-1,5815642695880401;1,13749076197742e-01;-0,16879310779506501
33;2;-5,43567963505213e-02;4,49904204398472e-02;-1,2081860053563400;2,26975723560704e-01;-0,05435679635052130
34;2;4,91979276174954e-01;2,03536425860660e-01;2,4171559173971202;1,56423151511953e-02;0,49197927617495402
35;2;6,02716444926926e-02;1,98173126267668e-01;0,3041363156944140;7,61024040549062e-01;0,06027164449269260
36;2;-5,46679226894851e-02;2,45999794733441e-01;-0,2222275134364310;8,24136776931212e-01;-0,05466792268948510
37;2;-2,94005754319738e-01;9,55319704261291e-02;-3,0775640134742099;2,08700008858687e-03;-0,29400575431973802
38;2;-7,75589798722368e-02;8,59492267375514e-02;-0,9023813571827179;3,66854320917033e-01;-0,07755897987223680
39;1;-1,56711183514308e-02;3,93896905681258e-02;-0,3978482218418820;6,90742069097926e-01;-0,02260139904347380
40;1;2,22477769731393e-03;3,65218854402482e-02;0,0609162881514916;9,51425877467048e-01;0,00276320967827043
41;1;1,21052201632434e-02;7,12103406492369e-03;1,6999244846855099;8,91451307201671e-02;0,03983099411752620
42;1;-9,90180894264926e-04;8,16975443136190e-04;-1,2120081485727900;2,25509261440740e-01;-0,01903657687887770
43;1;-1,85794958847901e-03;2,41090601632789e-03;-0,7706437231049320;4,40918137537976e-01;-0,01154489568078710
44;1;-1,19147706255095e-03;4,68865069579034e-04;-2,5411939166650002;1,10474628376848e-02;-0,04180840444640290
