rank;alpha;lambda;model_ids;residual_deviance
321;[0.04];1,62975083462064e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_214;35536,5828177406
322;[0.06];1,87381742286038e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_248;35536,5927970259
323;[0.06];8,11130830789687e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_202;35536,6683072647
324;[0.1];1,62975083462064e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_6;35536,6703263226
325;[0.06];1,74752840000768e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_19;35536,6778954300
326;[0.08];1,41747416292680e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_79;35536,6917317946
327;[0.08];1,87381742286038e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_129;35536,6972356246
328;[0.08];1,62975083462064e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_67;35536,7276512561
329;[0.04];1,07226722201032e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_345;35536,7435355453
330;[0.08];1,74752840000768e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_4;35536,7840027000
331;[0.08];1,51991108295293e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_362;35536,7931029543
332;[0.1];1,51991108295293e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_206;35536,7939222102
333;[0.02];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_131;35536,8145822400
334;[0.04];1,51991108295293e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_36;35536,8332155508
335;[0.04];1,41747416292680e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_21;35536,8394175064
336;[0.06];2,65608778294668e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_156;35536,8421684762
337;[0.04];1,32194114846603e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_96;35536,8798840093
338;[0.04];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_2;35536,8807743410
339;[0.06];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_8;35536,9335058450
340;[0.08];6,57933224657568e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_144;35536,9841287257
341;[0.04];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_351;35536,9954562706
342;[0.08];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_324;35537,1332338849
343;[0.1];1,87381742286038e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_298;35537,1556870415
344;[0.06];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_157;35537,1815007978
345;[0.08];1,23284673944207e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_236;35537,1879630016
346;[0.1];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_217;35537,2324998340
347;[0.08];1,07226722201032e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_358;35537,2661734992
348;[0.1];1,00000000000000e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_185;35537,4132684024
349;[0.04];1,00000000000000e-03;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_28;35538,1614353974
350;[0.06];8,69749002617783e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_312;35540,2827815590
351;[0.1];5,72236765935022e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_25;35541,5974219461
352;[0.1];6,13590727341318e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_59;35543,6525702100
353;[0.08];7,56463327554629e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_163;35544,0576918485
354;[0.1];6,57933224657568e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_142;35545,3900625067
355;[0.1];7,05480231071865e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_34;35546,6288068865
356;[0.08];8,11130830789687e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_225;35547,7648649790
357;[0.06];1,00000000000000e-03;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_116;35548,4942028898
358;[0.1];7,56463327554629e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_213;35551,8398153718
359;[0.08];9,32603346883220e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_170;35553,4687194693
360;[0.08];1,00000000000000e-03;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_145;35555,7766518778
361;[0.1];9,32603346883220e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_216;35559,1655948805
362;[0.1];1,00000000000000e-03;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_307;35561,8725141781
363;[0.02];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_363;35590,8557760743
