rank;alpha;lambda;model_ids;residual_deviance
112;[0.06];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_347;35519,7801890554
113;[0.1];3,05385550883342e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_278;35520,0088306181
114;[0.02];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_227;35520,1277728245
115;[0.08];3,76493580679247e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_124;35520,1677366808
116;[0.0];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_162;35520,1919565300
117;[0.1];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_346;35520,2409641528
118;[0.02];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_267;35520,4236420610
119;[0.06];6,57933224657568e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_290;35520,6233401255
120;[0.1];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_64;35520,6944606358
121;[0.08];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_98;35520,7285320021
122;[0.04];7,05480231071865e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_235;35520,7359856433
123;[0.02];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_49;35521,0262521847
124;[0.0];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_63;35521,1470449938
125;[0.1];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_224;35521,3858624531
126;[0.06];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_349;35521,5958676469
127;[0.0];5,33669923120631e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_126;35521,6064349040
128;[0.1];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_173;35521,8329893214
129;[0.04];6,13590727341318e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_187;35522,0214603981
130;[0.04];5,72236765935022e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_120;35522,1443508118
131;[0.0];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_244;35522,4891971573
132;[0.08];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_360;35522,6944642147
133;[0.06];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_143;35522,7518262729
134;[0.04];6,57933224657568e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_118;35522,9016747507
135;[0.0];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_246;35522,9132015076
136;[0.04];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_300;35523,1760734517
137;[0.02];4,97702356433211e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_136;35523,1942671327
138;[0.04];4,64158883361278e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_3;35523,2034123927
139;[0.06];4,97702356433211e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_209;35523,2668461458
140;[0.0];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_102;35523,3263153602
141;[0.04];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_151;35523,5348458651
142;[0.1];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_282;35523,6932142648
143;[0.0];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_268;35523,7292521689
144;[0.08];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_43;35523,9737625929
145;[0.02];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_203;35524,0189499903
146;[0.06];4,32876128108306e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_319;35524,2460683515
147;[0.0];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_128;35524,2752880553
148;[0.04];7,05480231071865e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_304;35524,4766820472
149;[0.04];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_46;35524,5026858533
150;[0.06];3,76493580679247e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_220;35524,5330411312
151;[0.02];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_134;35524,5968697337
152;[0.06];4,03701725859656e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_253;35524,6226116582
153;[0.08];3,51119173421513e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_174;35524,7062864775
154;[0.0];2,84803586843580e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_318;35524,9872399123
155;[0.04];3,51119173421513e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_95;35525,2120947488
156;[0.06];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_17;35525,4199085567
157;[0.08];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_271;35525,7004680491
158;[0.04];3,27454916287773e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_167;35525,8065369736
159;[0.0];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_137;35525,8629818814
160;[0.0];2,00923300256505e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_308;35526,1308713259
161;[0.08];3,05385550883341e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_234;35526,2117016901
162;[0.08];2,84803586843580e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_289;35526,2570972091
163;[0.06];5,33669923120631e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_111;35526,3770126787
164;[0.1];2,65608778294668e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_321;35526,7192045728
165;[0.02];3,05385550883341e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_275;35526,7860115168
166;[0.08];2,65608778294668e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_357;35526,8089448969
167;[0.02];2,84803586843580e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_221;35527,1282641994
168;[0.0];1,51991108295293e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_296;35527,1728725581
169;[0.04];2,65608778294668e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_199;35527,2796469819
170;[0.1];2,47707635599171e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_172;35527,3571602826
171;[0.06];5,72236765935022e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_192;35527,4150911853
172;[0.0];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_30;35527,4161463018
173;[0.08];2,31012970008316e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_306;35527,4482489634
174;[0.06];2,47707635599171e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_355;35527,4790241853
175;[0.0];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_135;35527,6568193695
176;[0.0];1,23284673944207e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_141;35527,8957432913
177;[0.08];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_171;35528,0445615156
178;[0.04];2,47707635599171e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_263;35528,0827740035
179;[0.0];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_239;35528,3715271754
180;[0.04];2,31012970008316e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_105;35528,3914350328
181;[0.0];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_257;35528,6098359390
182;[0.08];1,62975083462064e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_269;35528,7227696719
183;[0.06];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_83;35528,7473092228
184;[0.04];2,00923300256505e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_237;35528,7758135628
185;[0.08];1,87381742286038e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_99;35528,8143857225
186;[0.1];1,74752840000768e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_190;35528,8271415960
187;[0.0];9,32603346883220e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_82;35528,8492741266
188;[0.02];2,15443469003189e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_208;35528,9380308300
189;[0.02];2,00923300256505e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_354;35528,9758789953
190;[0.02];2,31012970008316e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_166;35528,9770346534
191;[0.08];1,74752840000768e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_280;35528,9817520565
192;[0.06];2,00923300256505e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_71;35528,9971237265
193;[0.04];1,87381742286038e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_132;35529,0132655602
194;[0.06];1,62975083462064e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_311;35529,0374662978
195;[0.08];1,51991108295293e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_288;35529,0490741649
196;[0.1];1,62975083462064e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_155;35529,0777471695
197;[0.1];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_361;35529,3805355661
198;[0.02];1,87381742286038e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_353;35529,5591472959
199;[0.08];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_92;35529,6245995107
200;[0.06];1,51991108295293e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_265;35529,6892728079
201;[0.0];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_39;35529,8278573611
202;[0.1];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_331;35529,9285539181
203;[0.02];1,74752840000768e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_68;35529,9565906583
204;[0.06];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_310;35530,1035129957
205;[0.04];1,41747416292680e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_309;35530,1431689464
206;[0.0];6,57933224657568e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_76;35530,2638936655
207;[0.02];1,62975083462064e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_31;35530,3205439501
208;[0.04];8,11130830789687e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_54;35530,4197993035
209;[0.06];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_215;35530,5306418435
210;[0.08];1,23284673944207e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_56;35530,5394728889
211;[0.0];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_291;35530,7910428811
212;[0.04];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_74;35530,9166751088
213;[0.1];4,32876128108306e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_196;35530,9881751867
214;[0.1];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_211;35531,0011888890
215;[0.0];5,33669923120631e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_75;35531,0583807262
216;[0.08];1,14975699539774e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_359;35531,0645800725
217;[0.04];1,23284673944207e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_73;35531,2190794743
218;[0.08];4,97702356433211e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_356;35531,2957666762
219;[0.02];1,32194114846603e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_106;35531,3113493431
220;[0.08];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_121;35531,3128824612
221;[0.0];4,32876128108306e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_295;35531,3690519629
222;[0.0];4,64158883361278e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_53;35531,5993769490
223;[0.02];1,23284673944207e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_276;35531,6021728388
224;[0.06];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_344;35531,6100260259
225;[0.08];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_147;35531,6231089230
226;[0.1];9,32603346883220e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_58;35531,6911264819
227;[0.0];3,76493580679247e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_175;35531,8199908730
228;[0.06];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_35;35531,9895690333
229;[0.0];3,51119173421513e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_177;35532,0444551227
230;[0.08];5,33669923120631e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_316;35532,0554491710
231;[0.02];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_228;35532,1276607546
232;[0.08];9,32603346883220e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_18;35532,1948503829
233;[0.04];1,07226722201032e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_89;35532,2016032427
234;[0.0];2,15443469003188e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_152;35532,2935864439
235;[0.04];8,69749002617783e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_86;35532,3503410111
236;[0.0];2,47707635599171e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_29;35532,3775959612
237;[0.0];2,00923300256505e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_245;35532,4355424736
238;[0.0];2,84803586843580e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_256;35532,4597143040
239;[0.04];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_94;35532,4872873115
240;[0.0];1,87381742286038e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_113;35532,5746604873
241;[0.02];1,00000000000000e-05;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_178;35532,5856140078
242;[0.06];8,69749002617783e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_330;35532,6892339167
243;[0.02];9,32603346883220e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_57;35532,7559506315
244;[0.02];8,69749002617783e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_338;35532,7972705847
245;[0.0];1,62975083462064e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_165;35532,8441386582
246;[0.0];1,41747416292680e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_123;35533,0343424658
247;[0.06];8,11130830789687e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_317;35533,1038276181
248;[0.08];7,56463327554629e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_16;35533,1367952279
249;[0.08];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_343;35533,2297814768
250;[0.02];8,11130830789687e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_47;35533,2309992822
251;[0.0];1,23284673944207e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_108;35533,2749773310
252;[0.1];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_325;35533,3266121235
253;[0.04];8,11130830789687e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_218;35533,3811552554
254;[0.0];1,14975699539774e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_323;35533,3906330422
255;[0.1];6,57933224657568e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_232;35533,6415779371
256;[0.06];7,56463327554629e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_241;35533,7104444224
257;[0.04];7,56463327554629e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_193;35533,7106720928
258;[0.1];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_219;35533,7536639497
259;[0.06];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_168;35533,7951616449
260;[0.1];4,64158883361278e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_251;35533,7993071853
261;[0.1];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_313;35533,8360457165
262;[0.04];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_100;35533,8569779461
263;[0.02];7,05480231071865e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_51;35533,9327369424
264;[0.08];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_207;35534,0511970472
265;[0.06];6,57933224657568e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_65;35534,0705842367
266;[0.04];6,57933224657568e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_154;35534,1064333239
267;[0.02];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_125;35534,1438797151
268;[0.04];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_332;35534,3135450408
269;[0.02];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_340;35534,3221966164
270;[0.06];6,13590727341318e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_274;35534,3841977840
271;[0.04];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_11;35534,4254481976
272;[0.06];7,05480231071865e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_115;35534,4442187050
273;[0.08];5,72236765935022e-06;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_88;35534,5709682396
274;[0.08];6,13590727341318e-04;Grid_GLM_auto_train_cooked_sid_9f7c_1_model_R_1617903761656_82_model_266;35534,6074844138
