variable_encripted;level_encripted;coefficients;standardized_coefficients
38;2;-4,00766358960350e-02;-0,04007663589603500
39;1;-1,63574291154344e-02;-0,02359121885704570
40;1;-5,04443028249605e-02;-0,06265263533872389
41;1;1,42901833536762e-02;0,04702039297285620
42;1;-9,26426635366512e-04;-0,01781087876865870
43;1;-2,51029743006563e-03;-0,01559844364861420
44;1;-1,37216635904696e-03;-0,04814871214050760
45;1;2,78237744052621e-05;0,04686603588053030
46;1;2,02152420300621e-02;0,11842831866444301
47;1;3,32246596048828e-03;0,02625462277525720
48;1;7,14789342914597e-02;0,05125041879053660
49;1;-2,66158636380800e-03;-0,00578417623070597
50;1;1,47489201824227e-02;0,08654096286331610
51;1;2,92917958612998e-03;0,00709787222929669
52;1;9,96495255878078e-02;0,02364797698953590
53;1;-5,24673115522089e-02;-0,06993652766631241
54;1;-7,83543030715421e-05;-0,01055907935672410
55;1;-2,38703378459971e-05;-0,07773958041978780
56;1;-1,28923665999645e-06;-0,10970999465535600
57;1;-8,39499634291310e-05;-0,00740183232145248
58;1;6,47483474502582e-05;0,11204563333831701
59;1;0,00000000000000e+00;0,00000000000000000
60;1;-1,63595285561711e-04;-0,00235120601811255
61;1;2,52904713512005e-05;0,03886182659452900
62;1;9,76250998274529e-11;0,08828951594683920
63;1;-7,59795247140253e-02;-0,04003280490903530
64;1;6,29679810964021e-02;0,03823820247251070
65;1;-8,51679811769596e-03;-0,04777231730732580
66;1;-4,87022738347503e-02;-0,04106885766616090
67;1;-1,87670375884718e-02;-0,08945992692298110
68;1;4,74235711415669e-03;0,00660712514076637
